Species,Longitude,Latitude
221,-121.7307949,41.82977507
221,-122.3452816,41.68982802
221,-120.4291676,41.57234499
221,-121.114908,41.13017075
221,-121.045248,41.13973167
221,-120.505814,40.3814919
221,-122.096398,39.84483142
221,-121.5393501,39.4395837
221,-122.0427242,38.95255673
221,-121.3196874,38.93102876
221,-122.8747091,38.51457127
221,-123.0916589,38.44568686
221,-122.0134971,38.63024536
221,-122.061062,38.51819704
221,-122.397909,38.44019051
221,-122.9107927,38.32083654
221,-122.3518013,38.38270021
221,-121.9848914,38.43877975
221,-122.2792083,38.34798993
221,-122.0357032,38.3952467
221,-121.3847927,38.49782452
221,-121.8859291,38.38538957
221,-122.5686198,38.23264124
221,-122.395849,38.25305753
221,-122.0236629,38.32752148
221,-122.0888919,38.30111122
221,-122.4450055,38.2224433
221,-122.3253761,38.23657367
221,-121.3419685,38.43387772
221,-122.9048015,38.09221473
221,-121.6666592,38.36301652
221,-121.8994761,38.31243485
221,-122.1111414,38.24176185
221,-122.8144731,38.0804958
221,-122.63648,38.11895135
221,-122.4541235,38.1575161
221,-121.727603,38.31441629
221,-122.9675295,38.04097026
221,-122.2298525,38.20162492
221,-121.2745212,38.39869249
221,-122.5282958,38.12576142
221,-121.3337609,38.38122683
221,-119.652113,38.7080108
221,-122.2093718,38.15938045
221,-122.5438898,38.07468303
221,-121.3653609,38.3182327
221,-121.2935696,38.32644089
221,-122.2819522,38.10255047
221,-121.4543298,38.28052547
221,-121.974193,38.1545071
221,-122.1120686,38.12198303
221,-122.6150662,38.0089797
221,-122.5179443,38.02003012
221,-119.8062296,38.56314447
221,-121.4266743,38.23088408
221,-122.7119331,37.94803458
221,-121.290027,38.25533605
221,-121.215032,38.2705639
221,-120.9207955,38.31230317
221,-122.2434325,38.01587244
221,-122.493262,37.95507633
221,-121.1694166,38.22744684
221,-122.0286094,38.01951711
221,-121.0293125,38.22958578
221,-121.0935816,38.20839696
221,-121.2286771,38.16756583
221,-121.1558577,38.17954285
221,-121.6607088,38.06546603
221,-121.247604,38.11642403
221,-121.126273,38.13694391
221,-121.7448637,38.00237109
221,-121.6316571,38.02115563
221,-122.0882603,37.89554654
221,-121.2506385,38.06696349
221,-121.6446181,37.97116433
221,-121.8007199,37.93252764
221,-121.7348127,37.94425778
221,-121.452984,37.99354592
221,-121.0784521,38.06655801
221,-122.1121623,37.84108908
221,-121.2558552,38.00539018
221,-121.1608298,38.02292336
221,-119.7868819,38.30064164
221,-119.6056875,38.33436022
221,-121.7081433,37.89861813
221,-121.5087865,37.9380626
221,-122.4904287,37.72267344
221,-121.3702929,37.965895
221,-121.0411225,38.014768
221,-121.4222165,37.93376432
221,-121.2103721,37.9683906
221,-121.6342885,37.87285282
221,-122.4945928,37.66494598
221,-121.5172569,37.8782319
221,-121.3103908,37.91950227
221,-121.0430555,37.9555905
221,-121.9580668,37.7596798
221,-121.2300511,37.91236776
221,-121.156452,37.92650461
221,-121.4297498,37.8680482
221,-121.2972801,37.87400645
221,-121.5960131,37.80832099
221,-121.5299439,37.82027024
221,-122.1507417,37.67547672
221,-121.3985358,37.82807364
221,-121.1796872,37.87446106
221,-121.9822307,37.70186439
221,-121.0163481,37.90435392
221,-121.2420464,37.83854288
221,-121.8533909,37.70465054
221,-121.3230516,37.80916429
221,-121.1114047,37.85251716
221,-121.4809684,37.77051148
221,-122.488578,37.53375634
221,-121.8955147,37.65601951
221,-121.7000536,37.69759293
221,-121.4068291,37.75942244
221,-121.1685106,37.80970254
221,-121.8310015,37.66199768
221,-121.0276108,37.83296599
221,-121.3142644,37.76275293
221,-122.0519575,37.59845927
221,-121.0918582,37.80449988
221,-121.2254216,37.77465492
221,-120.9646186,37.82703274
221,-121.5375368,37.70259202
221,-121.4651466,37.70644267
221,-120.2072528,37.96535385
221,-122.3719013,37.50410309
221,-121.3911586,37.71586242
221,-121.1599103,37.76353847
221,-122.4422567,37.48313086
221,-120.8831534,37.8077408
221,-121.0222344,37.77837152
221,-120.4475453,37.89519583
221,-121.2787591,37.71730066
221,-121.2100061,37.73048505
221,-121.9635525,37.56361319
221,-121.0843559,37.73980932
221,-120.7222072,37.81292742
221,-121.8732015,37.56583096
221,-121.3731511,37.66558694
221,-122.3854572,37.44457961
221,-120.7916678,37.77358598
221,-121.1541962,37.69596613
221,-120.8758042,37.75329681
221,-121.2164251,37.67947495
221,-121.2795595,37.66358602
221,-120.9890462,37.71741604
221,-121.9112376,37.5100035
221,-120.7864496,37.72618791
221,-122.3980562,37.37858135
221,-121.160954,37.64378505
221,-121.0918542,37.65781821
221,-121.3156838,37.60207759
221,-121.250217,37.59685497
221,-120.8375771,37.67619984
221,-120.6165145,37.71790805
221,-120.9153064,37.65414496
221,-121.9574806,37.42761127
221,-122.3810928,37.33003449
221,-121.1453691,37.59688196
221,-120.9887469,37.60326985
221,-121.2227376,37.55164589
221,-120.8823354,37.61198781
221,-121.1221858,37.55463726
221,-122.3835822,37.27436235
221,-120.7783738,37.61538795
221,-120.5724934,37.65001384
221,-120.6590268,37.62880838
221,-121.0409571,37.5415534
221,-121.1746678,37.51246736
221,-120.194741,37.71121371
221,-120.8455344,37.56785815
221,-121.098823,37.51076733
221,-121.167448,37.46712341
221,-120.7431195,37.54958712
221,-119.9820031,37.70216918
221,-120.5978701,37.53650637
221,-120.727754,37.49931906
221,-120.969102,37.44218234
221,-120.8582057,37.45575003
221,-121.7812596,37.25684515
221,-120.7829088,37.44073015
221,-120.4353038,37.50744577
221,-120.9030466,37.39840644
221,-120.8432617,37.40068372
221,-121.7077971,37.19643962
221,-120.707082,37.40943681
221,-120.6142772,37.42704866
221,-120.0512339,37.51736613
221,-120.7595202,37.36692709
221,-120.6606517,37.37172725
221,-120.9620008,37.30812074
221,-121.6331778,37.15848649
221,-120.8586361,37.32347069
221,-122.1874597,37.02502467
221,-121.6119948,37.1133648
221,-119.0183445,37.641965
221,-120.7834457,37.28656708
221,-120.4245363,37.35327269
221,-120.5990373,37.31195833
221,-122.0016701,36.99693557
221,-120.5118839,37.31449729
221,-122.0859221,36.96272002
221,-121.6212782,37.06135247
221,-121.5579393,37.05704121
221,-121.7528602,36.99767285
221,-121.8077454,36.98010207
221,-120.4289846,37.27070075
221,-121.8794413,36.96019605
221,-120.3124207,37.27583917
221,-121.5158949,37.0186591
221,-121.720564,36.95415778
221,-121.5677769,36.98436603
221,-121.8112175,36.92903508
221,-121.0083419,37.10121479
221,-120.8960962,37.11659855
221,-120.6136963,37.1723797
221,-121.4935181,36.97685083
221,-121.3600823,37.00396921
221,-120.3503631,37.20661535
221,-121.4321366,36.97178948
221,-121.6902311,36.91410259
221,-121.7645686,36.89284655
221,-120.9453043,37.06547018
221,-121.5425725,36.9315118
221,-121.6068977,36.89670534
221,-121.3620649,36.9446981
221,-121.4722953,36.92007726
221,-121.700709,36.86068985
221,-120.5378297,37.10838262
221,-121.7668672,36.84537643
221,-120.4039058,37.13470087
221,-121.5374976,36.8726252
221,-121.3479613,36.89999222
221,-121.4169373,36.88456495
221,-120.5999224,37.05310662
221,-120.2782653,37.11930758
221,-121.6959965,36.81420631
221,-121.762823,36.79790607
221,-121.4682389,36.85181598
221,-120.3700064,37.08383978
221,-120.5043471,37.04748776
221,-120.6835823,36.9952099
221,-121.3948039,36.84214853
221,-121.6752151,36.77207007
221,-121.7641396,36.75064887
221,-121.3162087,36.84493055
221,-121.6127875,36.77875233
221,-120.3558121,37.03915894
221,-121.6775666,36.7245988
221,-120.1090859,37.05597193
221,-121.7435734,36.70819335
221,-121.6128909,36.73178157
221,-121.3338468,36.78811855
221,-121.5544709,36.73673246
221,-120.3566576,36.98888767
221,-120.6863312,36.90431979
221,-121.7026445,36.67075853
221,-121.6041066,36.68452693
221,-121.8240584,36.63212743
221,-120.925732,36.81815638
221,-121.8845695,36.59542082
221,-120.0789376,36.97084565
221,-121.6627356,36.63309471
221,-121.9412812,36.56896726
221,-121.5434319,36.65164194
221,-121.6051045,36.63708186
221,-120.7297603,36.82262078
221,-121.3525593,36.68775941
221,-121.7142274,36.60458056
221,-121.8035373,36.57882796
221,-121.8694545,36.53564574
221,-121.5003487,36.61463495
221,-121.560694,36.60038134
221,-121.6227374,36.58599879
221,-120.5668737,36.80297135
221,-119.885641,36.93073183
221,-121.8041822,36.5197527
221,-121.4686387,36.57487211
221,-121.6839082,36.52703012
221,-121.5426565,36.55764808
221,-119.7588262,36.91844249
221,-121.4279193,36.53734113
221,-121.4862601,36.52354909
221,-121.7149575,36.47241028
221,-120.5136039,36.72240647
221,-120.2488795,36.77197906
221,-119.9131089,36.83421795
221,-119.7731486,36.85227519
221,-121.412817,36.49369128
221,-121.4679574,36.48087368
221,-120.4695899,36.66926451
221,-119.8897515,36.78725404
221,-120.0857353,36.74375916
221,-121.6626125,36.4088754
221,-119.7430782,36.81135059
221,-121.3523797,36.46070628
221,-121.4272892,36.4433404
221,-120.2733455,36.68695708
221,-120.3354381,36.6544728
221,-120.5507168,36.59750517
221,-120.1487024,36.67635991
221,-119.7132474,36.76346786
221,-121.3302593,36.41885547
221,-121.2636355,36.39912084
221,-120.4823098,36.56027475
221,-121.3219851,36.37345106
221,-119.9664831,36.65525914
221,-120.323191,36.55929317
221,-119.6052871,36.70197906
221,-119.7273655,36.67495976
221,-121.2567943,36.35368833
221,-120.1111749,36.58972055
221,-121.325197,36.32583503
221,-120.2857687,36.51583216
221,-121.2063606,36.31767038
221,-120.0076525,36.56278668
221,-119.6192334,36.64089006
221,-121.2690721,36.29162916
221,-119.8060615,36.58858392
221,-121.1581032,36.28172691
221,-121.672582,36.16544706
221,-120.0708617,36.50282437
221,-119.5206483,36.60897728
221,-120.1940042,36.44816575
221,-119.4525474,36.59246665
221,-121.1338668,36.24032574
221,-119.305788,36.6172023
221,-119.9404119,36.47418753
221,-120.2399864,36.38525031
221,-121.1223925,36.195344
221,-120.0544653,36.41517418
221,-121.059155,36.20117548
221,-119.9359259,36.40126505
221,-120.1214338,36.3618455
221,-121.0538,36.15044224
221,-119.995347,36.35564836
221,-119.8694103,36.36588265
221,-119.7092481,36.39423492
221,-120.1215689,36.30786074
221,-119.436481,36.4443313
221,-121.0080558,36.10588706
221,-119.6385588,36.38667177
221,-121.4599156,35.99320525
221,-118.0863441,36.67225494
221,-120.9455331,36.09293509
221,-119.5653409,36.37764384
221,-120.078562,36.26995624
221,-119.4040404,36.39474216
221,-120.0130992,36.26238427
221,-120.3416636,36.19332822
221,-120.1346131,36.21025478
221,-120.9275017,36.03632652
221,-119.3089809,36.37031284
221,-120.3488008,36.1378441
221,-121.2139688,35.93434566
221,-121.136328,35.9411706
221,-120.8807538,35.99140986
221,-119.4556877,36.28333678
221,-119.8383992,36.16730629
221,-119.2350568,36.26903368
221,-119.3632411,36.21840754
221,-120.9147114,35.89288317
221,-120.0045655,36.0796138
221,-119.5818202,36.138083
221,-121.2764067,35.77693408
221,-119.1504821,36.21069847
221,-121.2801516,35.72473978
221,-120.6468413,35.84186587
221,-121.1740559,35.69813895
221,-120.8836561,35.74336676
221,-119.3579339,36.05956323
221,-120.7137006,35.76666304
221,-119.8678386,35.94281168
221,-119.5695983,35.99270566
221,-120.942113,35.68419381
221,-120.6509439,35.72678233
221,-120.8743537,35.67517852
221,-121.1148843,35.61631812
221,-120.5678741,35.69534458
221,-120.6824698,35.65381198
221,-121.0021991,35.5827105
221,-120.6209574,35.65081828
221,-120.4945414,35.67011904
221,-121.0502189,35.54345272
221,-120.7434841,35.60945909
221,-120.8126818,35.59298377
221,-120.6088291,35.60155459
221,-120.6959181,35.57025485
221,-120.7590695,35.55232197
221,-120.5413417,35.58233637
221,-119.8968457,35.71638876
221,-120.8367933,35.51596181
221,-120.8874829,35.49396116
221,-120.0286895,35.66565211
221,-119.4370795,35.78345615
221,-120.9546233,35.45616815
221,-120.6567717,35.51039114
221,-120.582938,35.52305775
221,-119.2807479,35.79025206
221,-119.8682932,35.66499512
221,-120.5177349,35.52525228
221,-119.508747,35.71510351
221,-120.8357726,35.43406137
221,-120.6206953,35.46068387
221,-120.5019261,35.47815698
221,-119.7247307,35.63026278
221,-120.8190987,35.3849335
221,-120.5743846,35.41952796
221,-120.8074332,35.31863662
221,-120.5536872,35.3512937
221,-120.6879587,35.31875634
221,-119.3514711,35.59513019
221,-119.2951705,35.60450958
221,-120.7485075,35.28524864
221,-120.5102087,35.3142402
221,-120.6789783,35.26021486
221,-120.7496758,35.23256563
221,-120.3754067,35.30288935
221,-120.5902305,35.24979001
221,-120.7386635,35.18776963
221,-120.6380107,35.20158729
221,-120.5618085,35.20926798
221,-120.4598931,35.202399
221,-120.5310657,35.16785216
221,-119.6886785,35.32981994
221,-120.6340491,35.12782673
221,-120.5728382,35.1223368
221,-120.465109,35.12782705
221,-119.6275446,35.28951253
221,-119.5615894,35.30243037
221,-120.6155425,35.07770395
221,-120.5180957,35.08299648
221,-119.4866507,35.28451111
221,-120.3788644,35.09374289
221,-120.6025567,35.0338876
221,-120.4562697,35.05013908
221,-120.517914,35.02674457
221,-119.588959,35.20503364
221,-120.2997417,35.05699735
221,-119.4869726,35.22417621
221,-120.5675647,34.99505894
221,-120.6425152,34.96956421
221,-120.4276716,35.0096451
221,-120.5032039,34.9816331
221,-120.5533393,34.95150771
221,-118.9410902,35.28192457
221,-119.5377816,35.15769164
221,-119.1909467,35.21990035
221,-120.4389853,34.96010587
221,-120.4914948,34.93726749
221,-119.4700162,35.1480016
221,-120.3704531,34.95471322
221,-120.5365278,34.90102107
221,-120.4171543,34.91817322
221,-120.476363,34.89390942
221,-120.3464192,34.91324327
221,-120.2925801,34.92243522
221,-118.9944196,35.1741377
221,-120.4011598,34.87305721
221,-120.5372327,34.83596772
221,-120.2973143,34.87348283
221,-120.4190886,34.81544857
221,-120.2179053,34.85729789
221,-120.5131775,34.79146916
221,-120.3349101,34.79398939
221,-120.4279068,34.76670506
221,-120.4782358,34.74070042
221,-120.5396019,34.72561438
221,-120.2654428,34.75966202
221,-120.2047305,34.7556032
221,-120.4707107,34.69432742
221,-120.5433607,34.67626034
221,-120.3970644,34.6956388
221,-120.6137222,34.64808897
221,-120.1370644,34.73081254
221,-120.4872725,34.64224049
221,-120.330454,34.66684958
221,-120.5910689,34.60052349
221,-120.3912443,34.64169568
221,-120.1887273,34.6758425
221,-120.1163013,34.67755324
221,-120.2499597,34.63709692
221,-120.4586239,34.58957155
221,-120.314616,34.61975735
221,-120.185283,34.62779121
221,-120.376666,34.57852741
221,-120.0783566,34.63871882
221,-120.4165881,34.52589717
221,-120.34342,34.53875394
221,-120.0862007,34.58525046
221,-120.2000647,34.55896994
221,-120.0110472,34.59413732
221,-120.4154402,34.47482771
221,-120.3418348,34.48723344
221,-120.2542833,34.49756221
221,-120.1643204,34.48754163
221,-120.0820333,34.49939272
221,-119.9090287,34.42854963
221,-119.3450451,34.50069341
221,-119.6530477,34.42652436
221,-119.5694876,34.42083954
221,-119.3196952,34.43478999
221,-119.4214624,34.36111318
221,-119.2888044,34.34069812
221,-119.353983,34.32349471
221,-119.1552045,34.354622
221,-118.9413112,34.39532223
221,-119.0911391,34.34438295
221,-119.1641293,34.30386952
221,-119.2378313,34.27808269
221,-118.9089685,34.33743517
221,-119.1025474,34.27046903
221,-119.0392091,34.28135362
221,-119.1561649,34.25322655
221,-119.2473291,34.22940223
221,-119.0903995,34.22371822
221,-119.161254,34.20545805
221,-119.2129855,34.18662392
221,-118.9490276,34.23238224
221,-119.0162176,34.20417643
221,-119.0685502,34.18169776
221,-119.1323713,34.16487326
221,-118.8767377,34.1908217
221,-119.0429065,34.14044439
221,-119.5446507,34.01461765
221,-118.7129222,34.04210486
221,-118.4754105,34.07630838
221,-118.402508,34.01145548
221,-118.4082824,33.95648157
221,-118.3418474,33.96735613
221,-118.3947441,33.91249203
221,-118.2116822,33.88606942
221,-118.0153195,33.86168474
221,-118.3896746,33.75251238
221,-118.0203593,33.7997404
221,-117.7807751,33.67474644
221,-117.6600949,33.66314582
